Word,Sender,Hour,Minute,Day,Month,Year,Message,Location,AbsoluteLocation
mine,Ganrer,20,56,04,08,2014,162,6,833
griff,Ganrer,20,57,04,08,2014,163,5,838
young,Ganrer,20,57,04,08,2014,163,8,841
griff,Ganrer,20,57,04,08,2014,163,9,842
think,Ganrer,21,03,04,08,2014,164,4,846
new,Ganrer,21,03,04,08,2014,164,7,849
base,Ganrer,21,03,04,08,2014,164,8,850
btw,Ganrer,21,03,04,08,2014,164,9,851
like,Ganrer,21,31,04,08,2014,165,2,853
ignore,Ganrer,21,31,04,08,2014,165,6,857
sarcasm,Ganrer,21,31,04,08,2014,166,1,859
ahhh,JoeSwanson,23,36,04,08,2014,167,1,860
sweet,JoeSwanson,23,36,04,08,2014,167,2,861
gan,JoeSwanson,23,36,04,08,2014,167,3,862
sweet,JoeSwanson,23,36,04,08,2014,168,1,863
innocent,JoeSwanson,23,36,04,08,2014,168,2,864
fan,JoeSwanson,23,36,04,08,2014,168,3,865
drifting,JoeSwanson,23,36,04,08,2014,169,3,868
consciousness,JoeSwanson,23,36,04,08,2014,169,8,873
good,JoeSwanson,23,36,04,08,2014,169,9,874
sir,JoeSwanson,23,36,04,08,2014,169,10,875
check,JoeSwanson,23,37,04,08,2014,170,2,877
good,JoeSwanson,23,37,04,08,2014,170,6,881
time,JoeSwanson,23,37,04,08,2014,170,7,882
clever,JoeSwanson,23,37,04,08,2014,171,3,885
know,JoeSwanson,23,37,04,08,2014,171,5,887
wish,Ganrer,23,46,04,08,2014,172,1,888
could,Ganrer,23,46,04,08,2014,172,3,890
change,Ganrer,23,46,04,08,2014,172,4,891
name,Ganrer,23,46,04,08,2014,172,6,893
every,Ganrer,23,46,04,08,2014,172,7,894
time,Ganrer,23,46,04,08,2014,172,8,895
go,Ganrer,23,46,04,08,2014,172,10,897
damn,Ganrer,23,46,04,08,2014,172,13,900
game,Ganrer,23,46,04,08,2014,172,14,901
sorry,JoeSwanson,23,48,04,08,2014,173,2,903
sweet,JoeSwanson,23,48,04,08,2014,173,3,904
gan,JoeSwanson,23,48,04,08,2014,173,4,905
well,JoeSwanson,23,48,04,08,2014,174,1,906
toby,JoeSwanson,23,48,04,08,2014,174,2,907
cool,JoeSwanson,23,48,04,08,2014,174,5,910
name,JoeSwanson,23,48,04,08,2014,174,6,911
old,JoeSwanson,23,48,04,08,2014,174,7,912
pally,JoeSwanson,23,48,04,08,2014,174,8,913
old,JoeSwanson,23,48,04,08,2014,174,9,914
pal,JoeSwanson,23,48,04,08,2014,174,10,915
base,JoeSwanson,23,48,04,08,2014,175,3,918
good,JoeSwanson,23,48,04,08,2014,175,5,920
ain't,JoeSwanson,23,49,04,08,2014,176,1,921
one,JoeSwanson,23,49,04,08,2014,176,3,923
stealing,JoeSwanson,23,49,04,08,2014,176,4,924
elixir,JoeSwanson,23,49,04,08,2014,176,6,926
care,Ganrer,23,49,04,08,2014,177,2,928
elixir,Ganrer,23,49,04,08,2014,177,5,931
nothing,Ganrer,23,49,04,08,2014,177,8,934
upgrades,JoeSwanson,23,50,04,08,2014,178,2,940
even,JoeSwanson,23,50,04,08,2014,178,3,941
troops,JoeSwanson,23,50,04,08,2014,178,5,943
minions,Ganrer,23,50,04,08,2014,179,4,947
like,Ganrer,23,51,04,08,2014,180,2,949
base,Ganrer,23,51,04,08,2014,180,4,951
btw,Ganrer,23,51,04,08,2014,180,5,952
realise,Ganrer,23,51,04,08,2014,180,7,954
changed,Ganrer,23,51,04,08,2014,180,9,956
gossip,Ganrer,23,53,04,08,2014,181,2,959
ynot,Ganrer,23,53,04,08,2014,181,4,961
btw,Ganrer,23,53,04,08,2014,181,5,962
thank,JoeSwanson,23,55,04,08,2014,182,1,963
muchly,JoeSwanson,23,55,04,08,2014,182,3,965
yeah,JoeSwanson,23,56,04,08,2014,183,1,966
absolute,JoeSwanson,23,56,04,08,2014,183,4,969
maverick,JoeSwanson,23,56,04,08,2014,183,5,970
think,JoeSwanson,23,56,04,08,2014,184,3,973
already,JoeSwanson,23,56,04,08,2014,184,5,975
knew,JoeSwanson,23,56,04,08,2014,184,6,976
come,Ganrer,23,56,04,08,2014,185,1,978
sure,JoeSwanson,00,09,05,08,2014,186,3,982
actually,JoeSwanson,00,09,05,08,2014,186,4,983
pretty,JoeSwanson,00,09,05,08,2014,187,3,986
mad,JoeSwanson,00,09,05,08,2014,187,4,987
oh,Ganrer,13,14,05,08,2014,188,1,988
really,Ganrer,13,14,05,08,2014,188,2,989
interesting,Ganrer,13,14,05,08,2014,188,4,991
what's,JoeSwanson,13,38,05,08,2014,189,1,992
going,JoeSwanson,13,38,05,08,2014,189,2,993
'spain',JoeSwanson,13,38,05,08,2014,189,6,997
place,JoeSwanson,13,38,05,08,2014,189,7,998
nothing,Ganrer,13,43,05,08,2014,190,1,999
much,Ganrer,13,43,05,08,2014,190,2,1000
really,Ganrer,13,43,05,08,2014,190,3,1001
relaxing,Ganrer,13,44,05,08,2014,191,2,1003
readying,Ganrer,13,44,05,08,2014,191,4,1005
reading,Ganrer,13,44,05,08,2014,192,1,1006
ah,JoeSwanson,13,44,05,08,2014,193,1,1007
near,JoeSwanson,13,44,05,08,2014,193,4,1010
london,JoeSwanson,13,44,05,08,2014,193,5,1011
ermm,Ganrer,13,50,05,08,2014,194,1,1013
back,Ganrer,13,51,05,08,2014,195,3,1017
till,Ganrer,13,51,05,08,2014,195,4,1018
11th,Ganrer,13,51,05,08,2014,195,6,1020
sucks,JoeSwanson,13,51,05,08,2014,196,2,1022
sorry,Ganrer,13,51,05,08,2014,197,2,1024
lucys,JoeSwanson,13,52,05,08,2014,198,1,1025
back,JoeSwanson,13,52,05,08,2014,198,2,1026
